eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
199801010001,1998,1,1,,0,,34,Burundi,11,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.375828,29.364107,1,0,The incident occurred at Bujumbura Airport.,"01/01/1998: Hutu Rebels attacked a Burundi military target at Bujumbura Airport. The attack resulted in 104 fatalities, including 100 perpetrators, and six injuries.",1,1,1,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Burundi Military,Burundi Military at Bujumbura Airport,34,Burundi,,,,,,,,,,,,,,,,,Hutu extremists,,,,,,Unknown,0,,,0,100,,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,104,0,100,6,0,,-9,,,,,0,,,,,,,,,,,,,,,,,"“Burundi Rebels, Ex-Rwandan Army Soldiers Blamed For Attack,” Bujumbura Radio-Television Nationale du Burundi Radio in French, January 01, 1998.","“Burundi--Attack Reported on Bujumbura Airport, Army Camp,” Agence France Presse, January 01, 1998.",,CETIS,0,1,0,1,
199801010002,1998,1,1,,0,,167,Russia,9,Eastern Europe,Moscow (Federal City),Moscow,55.751377,37.579914,1,0,,"01/01/1998: In Russia, a small bomb hidden in a purse and left in an underground passage of the Moscow Metro system exploded, injuring three transportation workers. No group claimed responsibility for the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,102,Subway,Moscow Metro System,An underground passage in the Moscow Metro,167,Russia,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,6,Explosives,14,Time Fuse,,,,,,,,,,,,,,0,0,0,3,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"“Bomb injures 3 in Moscow subway system,” The Atlanta Journal and Constitution,  January 2, 1998.","“Bomb injures 3 in Moscow subway,” Charleston Gazette (West Virginia), January 2, 1998.","“Bomb Injures 3 Workers in Moscow Metro,” Los Angeles Times, January 2, 1998.",CETIS,-9,-9,0,-9,
199801010003,1998,1,1,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1,0,Belfast (Capital City),"01/01/1998: The breakaway Loyalist Volunteer Force (LVF) claimed responsibility for the murder of Eddie Trainor, a 31 year old Catholic, in Belfast, Northern Ireland. The victim was killed by machine gun fire. No one else was injured or killed in the attack.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,68,Named Civilian,Civilian,Eddie Trainor,233,Northern Ireland,,,,,,,,,,,,,,,,,Loyalist Volunteer Forces (LVF),,,,,,Unknown,0,,,0,,0,1,8,Personal claim,,,,,,,-9,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"“Protestant gunmen kill Catholic in New Year's attack,” Calgary Herald (Alberta, Canada), January 2, 1998.","“Ulster Peace Shattered by Shooting: Catholic slain to avenge killing of loyalist leader,” Hamilton Spectator (Ontario, Canada), January 2, 1998.",,CETIS,0,0,1,1,
199801020001,1998,1,2,,0,,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,1,0,,"01/02/1998: The United Nations Special Commission (UNSCOM) Office in Baghdad, Iraq, was attacked by unknown perpetrators, firing rockets. The building was damaged but nobody was injured in the attack.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",United Nations,UNSCOM Office Building in Baghdad,999,Multinational,,,,,,,,,,,,,,,,,Unknown,,,,,,It was believed this attack was meant to intimidate UN inspectors and halt weapons inspections.,0,,,0,,,0,,,,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,The attack caused damage to a security checkpoint outside the building and broke some of the building's windows.,0,,,,,,,,,,,,,,,,,"“Iraq Condemns Attack on UNSCOM Baghdad Office,” INA, January 03, 1998.","Farouk Choukri , “Iraq, UN Officials Continue Investigating Rocket Attack,” Agence France Presse (North European Service), January 04, 1998.","“Iraqi Interior Minister on UNSCOM Attack, Kuwaiti POWs,” MBC Television, January 03, 1998.",CETIS,-9,-9,1,1,
199801020002,1998,1,2,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Unknown,31.995965,35.27111,4,0,,"01/02/1998: An Israeli woman was critically wounded in the West Bank when a car she was riding in was raked with gunfire on a road winding between Palestinian villages. There was no claim of responsibility, but Islamic militants were suspected of this attack.",1,1,1,0,,,0,0,0,2,Armed Assault,,,,,14,Private Citizens & Property,71,Race/Ethnicity Identified,Civilian,Israeli Civilian,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"“Woman Shot,” The Philadelphia Inquirer, January 2, 1998.","“Israeli Woman Critically Hurt by Gunfire in West Bank,” The New York Times, January 2, 1998.",,CETIS,-9,-9,0,-9,
199801040001,1998,1,4,,0,,118,Macedonia,9,Eastern Europe,Kumanovo (Municipality),Kumanovo,42.135812,21.717896,1,0,,"01/04/1998: A bomb attack occurred on a police station in Kumanovo, Macedonia. The attack was believed to be linked to an explosion in Prilep on the same day. The Kosovo Liberation Army took responsibility for the attack, but the Macedonian authorities said it was highly unlikely that this group was the perpetrator. The number of those injured was not reported.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,3,Police,22,"Police Building (headquarters, station, school)",Macedonian Police,Police station in Kumanovo,118,Macedonia,,,,,,,,,,,,,,,,,Kosovo Liberation Army (KLA),,,,,,Unknown,1,,,0,,,1,10,Unknown,,,,,,,-9,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,,,,,,,,-9,,,,,0,,,,,,,,,,,,,,,,,"“Officials Rule Out UCK Responsibility for Bombings,” AFP, January 07, 1998.","“Kosovo Liberation Army Repeats Claim to FYROM Attacks,” BETA, January 09, 1998.","Ljubisa Stankovic, “Prosecutor's Office Sees 'Inertia' in Bomb Investigations,” Vecer, January 10, 1998.",CETIS,1,1,0,1,"199801040001, 199801040002"
199801040002,1998,1,4,,0,,118,Macedonia,9,Eastern Europe,Prilep (Municipality),Prilep,41.35173,21.56214,1,0,,"01/04/1998: A bomb attack occurred on a police station in Prilep, Macedonia. The attack was believed to be linked to an explosion in Kumanovo on the same day. The Kosovo Liberation Army took responsibility for the attack, but the Macedonian authorities said it was highly unlikely that this group was the perpetrator. The number of those injured was not reported.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,3,Police,22,"Police Building (headquarters, station, school)",Macedonian Police,Police station in Prilep,118,Macedonia,,,,,,,,,,,,,,,,,Kosovo Liberation Army (KLA),,,,,,Unknown,1,,,0,,,1,10,Unknown,,,,,,,-9,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,,,,,,,,-9,,,,,0,,,,,,,,,,,,,,,,,"“Officials Rule Out UCK Responsibility for Bombings,” AFP, January 07, 1998.","“Kosovo Liberation Army Repeats Claim to FYROM Attacks,” BETA, January 09, 1998.","Ljubisa Stankovic, “Prosecutor's Office Sees 'Inertia' in Bomb Investigations,” Vecer, January 10, 1998.",CETIS,1,1,0,1,"199801040002, 199801040001"
199801050001,1998,1,5,,0,,15,Austria,8,Western Europe,Styria,Graz,47.070714,15.439504,1,0,,"01/05/1998: A letter bomb was sent to the Styrian Land Police Command, but the bomb failed to explode when opened. It was unclear who was responsible for the attack or what the attacker's precise motives were. It was also unclear if the bomb was actually meant to explode or not. There were no injuries as a result of this incident.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,3,Police,22,"Police Building (headquarters, station, school)",Styrian Police,Styrian Land Police Command,15,Austria,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,,0,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"J. Wolf, E. Holzer and E. Bieber, “Technical Components of Letter Bomb Found 'Intact',” Vienna Kurier, January 07, 1998.","Ernst Bieber, Peter Grolig, and Wilhelm Theuretsbacher, “Report Describes Contents of Recent Letter Bomb,” Vienna Kurier, January 08, 1998.",,CETIS,-9,-9,0,-9,
199801050002,1998,1,5,,0,,86,Guyana,3,South America,Demerara-Mahaica,Georgetown,6.821806,-58.159218,1,0,,"01/05/1998: Two bombs exploded outside a private television station in Georgetown, Guyana, injuring one person. The attack was believed to be a protest to the result of the elections in December 1997, which the People's Progressive Party (PPP) won. The television station was owned by a PPP supporter.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,10,Journalists & Media,55,Television Journalist/Staff/Facility,,Television station in Georgetown,86,Guyana,,,,,,,,,,,,,,,,,Unknown,,,,,,"It was believed that the attack was a protest to election results that occurred on December 15, 1997.",0,,,0,,,0,,,,,,,,,,6,Explosives,7,Grenade,8,Incendiary,18,Arson/Fire,,,,,,,,,,0,0,0,1,0,0,1,4,Unknown,,,0,,,,,,,,,,,,,,,,,"Urell Wilkinson, “Two Bombs Explode in Front of Pro-PPP Television Station,” EFE, January 06, 1998.","“Third Explosion in 36 Hours in Georgetown,” EFE, January 06, 1998.","“Manager Reports Hand Grenade Caused Explosion at Hotel,” EFE, January 06, 1998.",CETIS,-9,-9,0,-9,"199801050002, 199801060002"
199801050003,1998,1,5,,0,,168,Rwanda,11,Sub-Saharan Africa,Gitarama,Gitarama,-2.080109,29.75988,1,0,,"01/05/1998: In one of two related incidents, Hutu Rebels attacked the Nyabikenke Commune in Gitarama, Rwanda, killing fourteen and injuring two.",1,1,1,0,,,1,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians in the Nyabikenke Commune,168,Rwanda,,,,,,,,,,,,,,,,,Hutu extremists,,,,,,Unknown,0,,,0,,,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,9,Melee,23,Knife or Other Sharp Object,9,Melee,23,Knife or Other Sharp Object,,,,,"The perpetrators were armed with guns, machetes and axes.",14,0,0,2,0,,-9,,,,,0,,,,,,,,,,,,,,,,,"“Rwanda--Forty Said Murdered in Gitarama Prefecture,” Rwanda News Agency, January 07, 1998.","“Death Toll In Central Rwanda Rebel Attacks Rises To 70,” Rwanda News Agency, January 08, 1998.",,CETIS,0,1,0,1,"199801050003, 199801050004"
